Idly
American Chopsuey veg
Chinese Chopsuey
Chicken Fried Rice
Chicken Noodles
Egg Fried Rice
Egg Noodles
Prawn Fried Rice
Prawn Noodles
Schezwan Egg Fried
Schezwan Egg Noodles
Schezwan Chicken Fried Rice
Schezwan Chicken Noodles
Schezwan Prawn Fried Rice
Schezwan Prawn Noodles
Schezwan Mixed Fried Rice
Schezwan Mixed Noodles
Mutton Biryani
Chicken Biryani
Egg Biryani
Prawn Biryani
American Chopsuey
Chinese Chopsuey
Vegetable Chettinadu
Bhindi Masala
Dhal Makkhani
Dhal Tadka
Kaddai Paneer
Paneer Butter Masala
Paneer Tikka Masala
Palak Paneer
Aloo Gobi Masala
Malai Kofta
Mushroom Masala
Vegetable Khurma
Vegetable Ball Machurian
Chilli Baby Corn Gravy
Aloo Mutter
Mutton Pepper Fry
Mutton Roganjosh
Chennai Mutton Kari Kuzhambu
Kozhi Varutha Curry
Naatu Kozhi Masala
Butter Chicken Masala
Chicken Tikka Masala
Chicken Manchurian Gravy
Pepper Chicken Gravy
Fish Curry
Andhra Fish Curry
Malabar Fish Curry
Fish Amristari
Chettinad Yara Thokku
Prawn Masala
Chilly Fish Gravy
Chilly Fish Dry
Schezwan Fish Gravy
Schezwan Fish Dry
Fish Manchurian Gravy
Fish Manchurian Dry
Prawn Manchurian Gravy
Prawn Manchurian Dry
Veg Biryani
Paneer Bhurji 
Payasam / Bread Halwa
Paneer 65
Sesame Fried Paneer
Paneer Tikka
Paneer Tikka Masala
Mutton Biryani 
Chicken Karandi
Payasam / Bread Halwa
Kozhi Chukka
Mutton Coconut Pepper Fry
Year Varuval
Prawn 65
Crispy Fried Lamb
Golden Fried Prawn
Murgh Malai Tikka
Chennai Mutton Kari Kuzhambu
Butter Chicken Masala
Chettinad Yara Thokku
Cheese Veechu Paratha
Paneer Veechu Paratha
Egg Veechu Paratha
Keema Veechu Paratha
Egg Kothu Paratha ( 1 No)
Chicken Kothu Paratha ( 1 No)
Mutton Kothu Paratha ( 1 No)
Chicken Kheema Dosai
Mutton Kheema Dosai
Vanilla Milk Shakes
Stawberry Milk Shakes
Mango Milk Shakes
Cholocate Milk Shakes
Butterscotch Milk Shakes
Pista Milk Shakes
Lassi sweet Milk Shake
Lassi salt Milk Shake
Vanilla Ice Cream
Stawberry Ice Cream
Cholocate Ice Cream
Butter Scotch Ice Cream
Pista Ice Cream
Cassatta Ice Cream Slide
Falooda Ice Cream
Gulab Jamun
Carrot Halwa
Tutty Fruity
Sundae Ice Cream
Fruit Salad
Fruit Salad With Ice Cream
Coffee
Tea
Fresh Lime Soda Sweet
Fresh Lime Soda Salt
Fresh Lime Juice Sweet
Fresh Lime Juice Salt
Butter Milk
Soft Drinks
bournvita/horlicks
PEN Rs 5/-
GOLD FLACK KINGS WHITE
BUTTER SHEET
PAPER CUP 100 ML / TEA CUP
JUICE GLASS / PAPER CUP 150 ML
KEY BOARD GIFT
HAND GLOVES
DINING PAPER ROLLS
FUEL TIN
MIN.WATER 300 ML
CASTIC SODA
GARBAGE BAG (BIG)
SCORCH BRIGHT
SABEENA powder( 500 grm)
CHEF CAP/ SURGICAL CAP
SHAMPOO1
BATH SOAP
SHOE SHINE
DENTAL KIT
WC BAND
FOR YOU CARE
SHOWER CAPS
GUEST COMB
SHAVING KIT
SUGAR SACHATES
COFFEE SACHETES
TETLY TEA BAG
EVD MILK CREAMER
LAUNDRY BAGS
TASKI R1
TASKI R2
TASKI R3
TASKI R6
TASKI R7
TASKI R9
NAPTHALIN BALLS
HARD BROOM
ODONIL AIR FRESHNER
LEMON GRASS OIL
MOB RIFEL
MOB STICK
DUST BIN COVER
TOILET ROLL
HARPIC
WIPER STICK
FLOOR BRUSH
PLASTIC BUCKET
OIL / SUNFLOWER 
GINGLY OIL
VANASPATHI
COCONUT OIL
GHEE
UMBERELLA
AGARPATHI
SILVER FOIL 72 MTS
ROUND PARCEL CONTAINER 500 ML
BIRYANI CONTAINERS(BIG)
ACCOUNTS NOTE
SILVER POUCH(5X7)
SILVER POUCH(6X8)
SILVER POUCH(8X10)
CLEAN WRAP
CARRY BAG (PRINTED)
CARRY BAG (13X16)
"PAPER PLATE (9"")"
PLASTIC FORK
PLASTIC SPOON(MIDIUM)
 ROUND PARCEL CONTAINER (100 ML)
FRUIT FORK
RUBBER BAND
KEY CHAIN
Bread cover
EGG
CHICKEN 
MUTTON
BANQUET MENU
PERISHABLE INDENT
LETTER HEAD
LEAVE FORM
TARIFF CARD
PERMISSION SLIP
VOUCHER BOOKS
PURCHESE ORDER
LAUNDRY LIST
GUEST REGISTRATION CARD
GATE PASS
OUT PASS
VISITOR PASS
QUICK BITE MENU
RECEIPT BOOK
STORE REQUISTION BOOK SMALL
LUGGAGE TAG
KEY POUCH
ESSENSIAL  CARD
GUEST COMPLIMENT CARD
QUICK BITES(TENT CARD)
TOKEN VISITOR PASS
I. D CARD
PICK UP CARD
VALATE TAGS
PRINTED OFFICE COVERS
EXTRA BED DETAILS
SEEMANTHAM BOOKS [MENU]
KOT. BOOKS
CASH BILL BOOK
PRINTER ROLLS
TENDER COCONUT
TAG FILE
MOTOR LOG BOOK
DHAL POWDER
WHITE THILL
CORRIANDER POWDER
CHILLY POWDER 
KUZUMBU MASALA
TURMARIC POWDER
AJINOMOTO
WHITE PEPPER POWDER
MORE MILAGA / CURD CHILLY
SUNDA VATHAL
MANATHAKALI VATHAL
BREAD CRUMB
RICE FLOUR
CORN FLOUR
PICKEL JAR(5K.G)
PINEAPPLE ESSENCE
CARDAMON 
SAGO(K.G)
JAthI PATHRI (K.G)
NUT MUG (K.G)
BLACK ORIDH
VELLARI SEEDS
DRY GRAPES
TOMOTO SAUCE(BTL)
CHILLY SAUCE GREEN
VINEGAR(BTL)
DARK SOYA SAUCE(BTL)
MUSTRED OIL(BTL)
SALAD OIL(BTL)
HONEY(500MIBTL)
STAR ANIS
CLOVES
MARATI MUKKU
CINNAMON STICKS(PATTAI)
KALPASI
BAY LEAVES
KASOORI METHI
TAMARIND
VELLAM / JAGGERY
LONG CHILLY
SUGAR
ORID DHALL
TOOR DAL
RAVAI
ATTA
VERMICELLI/SAMIYA (180 GRMS)
NOODLES
APPALAM
PASTA PENNA(500GRMS
L.G POWDER
L.G.CAKE
BUSH COLOUR
SWEET CORN(TIN)
SUGAR CUBES
MANGO PULP(3K.G TIN)
COFFEE POWDER
THREE ROSES TEA
TEA POWDER STAFF
CHANA MASALA(50GRM PKT)
CHAT MASALA
IDLY POWDER(50GRM PKT)
CURRY POWDER(50 GRM PKT)
MUTTON MASALA((50GRMPKT)
GARAM MASALA(50GRM PKT)
SAMBAR POWDER(50GRM PKT)
BLACK PEPPER
WHITE CHANNA
ROASTED PEANUT
GRAM DHAL
FRIED GRAM DHAL
SOMB/FENNEL
MOONG DHAL
VENDHIYAM/FENUGREEK
MUSTERD SEEDS
CORRIENDAR SEEDS
GRAM FLOUR/BASAN FLOUR
SUGAR CANDY
SWEET SOMB
SALT POWDER
DRY GREENPEAS
CASHEW NUTS 1/4
GARLIC
JAL JEERA(50GRMS PKT)
ROSE WATER
LEMON SALT
VADAVAM (50GRMS)
GREEN TEA BAG
MEAL MAKER
MASALA APPALAM
COOKING SODA
POPPY SEEDS
ROCK SALT
FRYAMS
JEERA
TOOTH PICKS
TISSUE PAPER
STRAW BEND
JEERAGA SAMBA RICE(K.G)
BOILED RICE
RAW RICE
IDLY RICE
BASMATHI RICE
SODA 600 ML
MINERAL WATER (1LTR)
MINERAL WATER(500ML)
SODA(300ML TIN)
A4 SHEET
LONG RULED NOTE (192 PAGE)
LONG RULED NOTE (60 PAGE)
OFFICE COVER (PLAIN)
PEN BLUE
ERASER
SHARPNER
CARBON SHEET
BOX FILE
PUSH PIN
ZIP LOCK COVER
MIXCY SERVICE  CHARGES
GOOD NIGHT REFIL
DUST PAN PLASTIC
SOFT BROOM
WIPPER
CHICKEN WINGS
COUNTRY CHICKEN
FISH FILLET
FISH SLICE
CRAB
PRAWN (40 COUNT)
MAIDHA
TOMATO BANGALURE
CORN FLAKES (475GRAMS)
ADAPRATHAPAM
CHICKEN MASALA
RESERVATION FORM
ALU.PARCEL CONT. MEDIUM
WATER GLASS / PAPER CUP 250 ML
CARRY BAG 10X12
PAPER PLATE 5INCH
8 PORTION PARCEL CONTAINER
MILK TONNED
BREAD
ARBI(CHEPAN KILANGU)
BEANS
BEATROOT
CAPSICUM
CARROT
CAULIFLOWER
CHOUCHOU
CORRIANDER LEAVES
COCONUT
DRUMSTICK
GREENS
MINT LEAVES
ONION SAMBAR
BABY POTATO
 POTATO
LEMON
TOMATO
TOMATO HB
SPRING ONION
SPINACH PALAK
APPLE
POMEGRANATE
PINE APPLE
SOAP OIL
VANILLA ICE CREAM GAL
PISTHA ICE CREAM GAL
MIN WATER 20 LTR
JELLY CRISTAL 
THULASI LEAVES
PANEER
KHOVA PLAIN
GAS
CELLERY
STRAWBERRY ICE CREAMS GAL.
CHOCOLATE ICE CREAM GAL.
BUTTERSCOTCH ICE CREAMS GAL
SCRIBBLIG PAD
BANANA LEAVES
RAW BANANA
BEANS FRENCH
BITTER GUARD
BOTTLE GUARD
BRINJAL
BABY CORN PEELED
BROAD BEANS
CABBAGE
CABBAGE CHINESE
CABBAGE RED
CELERY
GREEN CHILLY
CHILLY RED FRESH
CLUSTER BEANS
CUCUMBER
CURRY LEAVES
GINGER
GONGURA LEAVES
GREEN PEAS FRESH
KARAMANI  COWPEA
LADIES FINGER
LEEKS
LETUCE
RAW MANGO
METHI LEAVES
MUSHROOM FRESH
KNOOL KHOL
ONION BIG
PARSLEY
CHIPS POTATO
PUMPKIN WHITE
PUMPKIN YELLOW
RADISH RED
RADISH WHITE
RIDGE GUARD
SNAKE GUARD
TINDLI / KOVAKAI
TOMATO CHERRY
TURNIFS
YAM BIG
BANANA GREEN
BANANA HILL
BANANA RED
BANANA YELLOW
GRAPES BLACK
GRAPES GREEN
GRAPES SEEDLES
GRAPES PANEER
GUAVA
MANGO
ORANGE
PAPAYA
SWEET LIME
SWEET MELON / KIRNI
WATER MELON
FRESH CREAM 1 LITT
BUTTER WHITE
KHOA
SWEET CORN FROZEN
GREEN PEAS FROZEN
FRENCH FRIES
TASKI R4
BANANA LEAVES ROUND
BLACK SALT
BLACK SALT POWDER
CHARCOAL
PERMANANET MARKER
WHITE BOARD MARKER
FLAG ROPE
FLAG BATCH
PEN STAND
CORRECTION PEN
ELECTRICAL MATERIALS 
AIR FRESHNER 5 LITS
RUBBER GLOVES
BANANA LEAVES (TIFFEN)
MIXIE JAR
RIYO LIQUID 25KG
BATERY AA
BATERY AAA
BATERY BIG
SOFT DRINKS 2 LITS
BLEECHING LIQUID
BLEECHING POWDER
STEEL SCRUBBER
REVENU STAMP
COCONUT POWDER
GRAPE SQUASH
MIX FRUIT JAM 3KGS
JUICE GLASS PARCEL
JUICE GLASS LID
KASHMIRI CHILLY POWDER
CASHEWNUT 1/8
FREIGHT CHARGES
DIESEL
XEROX
TRANSPORT CHARGES
CIVIL MATERIAL
ACID
IDIAPPAM
PAINTING MATERIALS
COCONUT OIL Re1/- PAC
BROWN SHEET
FIREWOOD
AAA
TONER REFIL
GAS LIGHTER
ALU.PARCEL CONT. BIG
MUTTON LEG
POOJA ITEMS
MANGO ICE CREAM GAL.
VANINILA ICE CREAM 50ML CUP
POTATO CHIPS
STATIONARIES
CHICKEN LIVE
FRUITS
BLACK CHANNA
CHOCOLATE SYRUB
STRAWBERRY SYRUB
RAJMA DHALL WHITE
CURD
GOOD NIGHT MACHINE
UNI PAL PEN
PADLOCK NO 2
LOCK SET 10 MM
LONG NOTE RULLED 160 PAGES (CLASSMATE)
FEEDBACK FORM
STORE REQUISITION BOOK BIG
FUNCTION PROSPECTS
VISITING CARD
SRR SPL MEALS VEG
SRR SPL MEALS N-VEG
Dosa 2EGG CURRY 2
BUFFET BREAKFAST
Dosa 2CHICKEN SALAD 2
PAKKU MATTAI PLATE NO 10
PAKKU MATTAI PLATE NO12
PAPER PLATE NO 8
HAND WASH LIQUID 5 LTR
STEAM RICE
PLAIN RICE
NV Chettinad Chicken
Schezwan Veg Fried Rice
HOT MILK
Old Monk Gold Premium RUM
Signature Rare Whishy
Morpheus XO Blended Brandy
Magic Moments Premium Vodka
Globus Wine
Eristoff Vodka a
Bacardi Classic RUM
British Empire Premium Brandy
Royal Challenge Whisky
BRITISH EMBPIRE BEER
VSOP Exshaw Brandy
Bacardi Original Citrus RUM
Bacardi Black Premium RUM
KF LAGER - BOTTLE BEER
KF FINE  MINI BEER
Louis Premium Brandy
2848 XO Brandy
Antiquity Blue Whisky
Hoist Gold Tequila
CARLBERG BEER
KF CLASSIC STRONG BEER
SNJ 20000 Super Stong(CAN) BEER
ANTIQUITY BLUE
SIGNATURE
ROYAL CHALLENGE
LOUIS VERNANT - Regular
BRITISCH EMP - Deluxe
2848 BRANDY - Regular
MORPHEUS XO - Deluxe
VSOP ExShaw SML
VODKA MAGIC MOMENT
ERISTOFF (REGULAR)
GLOBUS WINE - 150ml
BACARDI RUM - Lemon
BACARDI CLASSIC
BACARDI RUM BLACK
Old Monk RUM
OLD CASH/OLD MONK
GOBI MANCHURIAN
KADAI VEG CURRY
DHALL FRY
MUSHROOM BIRIYANI
PANEER BIRIYANI
COKE TIN
COKE 600 ML
GULAB JAMMUN WITH I/C
GOBI 65.
PANNER 65.
MUSHROOM 65.
FRIED CASHEW NUTS (8PCS)
CHESSE CHERRY PINEAPPLE STICK
FRENCH  FRIES
CRISPY FRIED VEGETABLE
GREEN PEAS/CHANNA FRY
CHICKEN 65 WITH BONE
CHICKEN 90 BONELESS
CHICKEN PEPPER FRY WITH BONE
CHICKEN PEPPER BONELESS
CHICKEN MANCHURIAN.
SCHEZWAN CHICKEN
GARLIC CHICKEN.
GINGER CHICKEN.
KOZHI CHUKKA.
KOZHI VARUVAL
KOZHI COCONUT PEPPER FRY
KADAI ROAST
KADAI 65
MUTTON PEPPER FRY.
MUTTON COCONUT PEPPER FRY.
MUTTON CHUKKA.
MUTTON KOLA URANDAI.
MUTTON PEPPER BRAIN FRY
MUTTON LIVER FRY
FISH FINGER
YEAR THOKKU
PRAWN CHUKKA VARUVAL
PRAWN PEPPER FRY
FISH MANCHURIAN.
PRAWN 65.
CHICKEN LOLLIPOP
CHICKEN LOLLIPOP WITH SOUCE
CHILLI CHICKEN DRY.
CHICKEN SPRING ROLL.
CHICKEN DRAGON D/G
CHILLI FISH.
FISH FINGER.
SCHEZWAN FISH.
DRAGON PRAWN
CHILLI PRAWN.
GOLDEN FRIEND PRAWN
PANNER TIKKA
HARIYALLI PANNER TIKKA
TANDOORI PRAWN.
FISH TIKKA.
TANDOORI CHICKEN HALF
TANDOORI CHICKEN FULL
CHICKEN TIKKA.
TANGIRI KEBAB.
EGG 65
EGG PODIMAS
BOILED EGG
CHILLI EGG
EGG PEPPER AND SALT
KF STRONG BLUE BEER
FOSTER BEER
WHARE HOUSE
WHARE HOUSE -150ML
DRAGON SHOT
MALT CAT
JACK ROSE
ANGEL LIPS
MOJITO coc
GARDEN OR BIFITTER
FRUIT PUNCH
ORANGE BOOM
MICKEY MOUSE
BARMAN SPECIAL
JOHNNIE WALKAR BLACK LABEL
JACK DANIELS - Honey
J and B RARE
JOHNNIE WALKAR RED LABEL
VADA
VADA (1NOS) 
SWEET MIXER
PLAIN BIRIYANI
SKY SHINES coc
PLAY BOYZ coc
CRAZY HORE coc
MINERAL WATER
SODA
KAADAI
CASHEWNUT WHOLE
SERVICE CHARGE TO TATA MAGIC
SOFT DRINKS 600 ML
CHEESE TIN
CHEESE SLICE
CHEESE CUBES
GIFT WRAP
BA
SOFT DRINKS.
Eristoff Vodka Regular
MASALA PEANUT
MIXER PLAIN
KARA SAV
SCISSORS
RIBBON
LONG NOTE RULLED A/C 400 PAGE
RAW PEANUT
MUTTON BRAIN
MUTTON LIVER
curd rice
NV fish biriyani
MUTTON BONELESS
PRAWN 20 COUNT
chapatti
JOHNNIE WALKAR BLACK LABEL - PUR
BLACK PEPER POWDER
FRESH JUICE
APPLE JUICE.
SWEET LIME JUICE.
WATER MELON JUICE.
POMEGRANATE JUICE.
PINEAPPLE JUICE
PAPAYA JUICE.
GRAPE JUICE.
FRESH LIME JUICE SWEET.
FRESH LIME JUICE SALT.
FRESH LIME SODA SWEET.
FRESH LIME SODA SALT.
FRUIT SALAD.
idly (1nos)
CALCULATER
STABLER SMALL
STABLER PIN SMALL
BILL HOLDER/ HOOK
STAMP PAD
STAMP PAD INK
NV naatu kozhi biriyani
BAR SNACKS
ROUND SAV
KARAMANI DRY WHITE
KARAMANI DRY BLACK
GREEN MOONG DHALL
PORI KARAM
MASALA OMLET
GREEN SALAD
MASALA FRIED FISH
TAWA FRIED FISH
Tequila Ioshot GOLD (S)
Tequila Ioshot SILVER( S)
SPL FOOD1
SPL FOOD2
KARA POONDI
WHEEL CHIPS
GOLD FLAKE KINGS
MATCH BOX
CIGER LIGHT
BAR MENU CARD
PLEASE CLEAN THE ROOM
bat
BATTERY BIG
ASSARTED JUICES
CRISPY FRIED VEG
fried crispy veg
crispy fried vegetable 1
CORN CHIPS
AVAL NICE
SILVER LEAVES
PLASTIC SPOON (PARCEL)
CLIP TRAY
PAPER CLIP
FEVI STICK
MOUSE PAD
tandoori veg platter
veg pulavo
tandoori veg platter 1
aloo tikka
SNJ 20000 SUPER STRONG BEER(CAN)
JOHNNIE WALKER RED LABEL SCOTCH WHISKY
JOHNNIE WALKER BLACK LABEL SCOTCH WHISKYY
JB RARE WHISKY
MA
PAPAD
VADAKARI MASALA
MUTTON MASALA
KABAB KING
NV chicken chukka
coke 55
CURD 1
paneer tikka 1
mushroom tikka
PETROL
BOT
PINEAPPLE CRUSH
BANANA STEMP
RED CAPSICUM
CHEF CAP SPL
FACE POWDER 15 GRMS
PLUMPING MATERIALS
BADAM / ALMOND
FIG FRUIT
PLASTIC MUG 1 LIT.
SAFTY MATERIALS
WASHING BRUSH
MILK MAID
IDLY CLOTH
RAIN COAT
BEEDA SWEET
BREAD TOAST
SERVICE CHARGES
green salad 1
NV HALF BOIL
NV CHICKEN CURRY DOSA
NV MUTTON CURRY DOSA
NV CHICKEN MANCHOW SOUP
NV ATTUKAL SOUP
NV CRAB MEAT SOUP
CREAM OF VEGSOUP
VEGBAL MANCHURIAN DRY
VEGBAL MANCHURIAN GRAVY
CHILLY BABY CORN DRY
CHILLY BABY CORN GRAVY
CHILLY MUSHROOM GRAVY
CHILLY PANNEER DRY
CHILLY PANNEER GRAVY
CHILLY GOBI GRAVY
Babycorn Manchurian Gravy
Mushroom Manchurian dry
Mushroom Manchurian Gravy
Schewan baby corn dry
Schewan baby corn Gravy
Schewan Mushroom Dry 
Schewan Mushroom Gravy 
Schewan Panneer Dry 
Schewan Panneer Gravy 
Schewan Gopi Dry 
Schewan Gopi Gravy
Babycorn Pepper Salt
Babycorn Pepper Fry
Mushroom Pepper fry
Tandoori Malai Gobi
NV Brain Pepper fry
NV Pomfret fish fry
NV Garlic fish dry
NV Garlic fish gravy
NV Chilly Prawn gravy
NV Garlic Prawn dry
NV Garlic Prawn gravy
NV Schezwan  Prawn dry
NV Schezwan  Prawn gravy
NV Prawn Manchrian dry
NV Prawn Manchrian gravy
NV Crab Pepper fry
NV Tandoori Pomfret
Steam Rice (Basumati)
Plain Rice
NV Kaadai Briyani
Panneer Fride Rice
Schezwan Panneer Fride Rice
Panneer Noodles
Schezwan Panneer Noodles
Schezwan Veg Noodles
Schezwan Veg Fried Rice
Veg Noodles
Schezwan Mushroom Fried Rice 
Mushroom Noodles
Schezwan Mushroom Noodles 
NV Mushroom Briyani
Panneer Briyani
Channa Masala
Mutter Panneer
Panneer Tikka Masala
NV Kaadai Roast
NV Kaadai Masala
NV Mutton Pepper Masala
Medhu Vada (2nos)
Mango Ice Cream
Carrot Halwa with Icecream
Orange Juice
Apple Milk shakes
NV EGG CURRY
NV EGG 65
NV EGG PEPPER AND SALT
NV MUTTON LIVER FRY
PARCEL MEALS 1
chapathi 1nos
parotta (2nos)
parotta (1nos)
LAUNDRY CHEMICALS
Green peas/Channa masala
NV Kaadai Biriyani
NV kaadai 65
NV Kaadai pp fry
NV Dragon Prawn Dry
NV Dragon Prawn Gravy
Veg Manchow Soup
Choice of Raitha
Dosa 2Boiled Egg 1 2
STERRER STICK
NV Egg - Podimas
NV Chilly Egg
PLASTIC FOLDER
vada(1nos)
masala peanut 1
MEDICINE
pine apple Juice
KITCHEN WARES
RED CHERRY TIN
REMI MARTIN
CUTLERY
NETHILI FISH
POMFRED FISH
"CELLO TAP 1/2"""
ABSOLUTE VODKA
CHIVAS REGAL
NETHILI FRY
RED BULL
NV Nethilli fry
PILLOW
MAT
GREEN OLIVES
RUBBER STAMP
GRINDING  CHARGES
STICKERS
pulka (1no)
GUEST COMMENTS FORM
KOLUM POWDER
VEGETABLES
A4 CLOTH COVER
MAYONAISE
TEA CUP CERAMIC
french fries 1
BLU CURACAO SYRUP
LEMON CARDIAL SYRUP
AIR WICK
OMAM / AJWAIN
MORPHEUS BLUE
URINAL CUBES
WC BRUSH
PANNAI VELLAAM
Chilli Panneer
BOOST SACHET
PENCIL
SCALL BIG
W SAUCE
HOUSE KEEPING MATERIALS
NV chicken grill sandwitch
OIL 15 KG SUNFLOWER TIN
sambar vada
jeera rice
DIARY
FIRE EXTINGISHER
AVAL KATTY
ORANGE JUICE 1 LIT
PINEAPPLE JUICE 1 LIT
MANGO JUICE 1 LIT
MIXED FRUIT JUICE 1 LIT
CRANBERRY JUICE 1 LIT
APPLE JUICE 1LIT
LITCHI JUICE 1 LIT
POMEGRANATE JUICE 1 LIT
DUROCELL BATTERY AA
WHEAT BREAD
BRITISH EMBPIRE STRONG BEER
SPONCH
STERREN LAGER BEER
MASALAPAPPED
CHILLY GOBI
LAGER  BEER
STRONG  BEER
masala papad
Roasted papad
Extra ghee
Kadai veg
Fried egg
Veg Kothu Parota
Rava Dosai
Onion Rava dosa
Bhoondhi Raitha
Kaju Masala
Egg Sandwich Grilled
Chicken Sandwich grilled
Chicken pakoda
Crab masala
schez. chicken dry
Schez. chicken Gravy
Variety rice
Butter roast
South indian papad
Ginger/ Masala Tea
Cold Coffee
Cold Coffee with Ice
Cucumber Raitha
NV Fish 65
NV Fish Chettinad
Barman Spl Cocktail
Canned Juice
BABY CORN 65
KANAVA FRY
PRAWN THOKKU
REDBULL 250 ML
CHILLI IDLY
KF AMSTEL STRONG BEER
SUN DETERGENT OIL
SUN 200 S
CHICKEN KADAI
Black & White Scotch
GHEE PODI DOSA
chicken pepper masala
naatu kozhi varuval
GHEE RICE
Mixed veg carry
MINT LEMON JUICE
SOAP OIL SPL
DATE FRUITS
VANILA ESSENCE 20 ML
GUNDU CHILLY
NEWS PAPERS
SPL VEG SOUP
SPL NON VEG SOUP
SPL VEG STARTERS
Dosa 2SPL CHICKEN 2
NV SPL MUTTON
NV SPL PRAWN
NV SPL FISH
NV SPL KADAI
SPL CRAB
SPL INDIAN BREAD
SOFTNER ( LAUNDRY)
Carlsberg Beer
Fosters Beer
Kingfisher Beer(Lager)
British Empire Beer
Royal Challenge Whisky 60ML
Royal Challenge Whisky 30ML
Signature Whisky 60ML
Signature Whisky 30ML
Black & White 60ML
Black & White 30ML
Teachers 60ML
Teachers 30ML
MC  Brandy 60ML
MC Brandy 30ML
Morpheus Brandy 60ML
Morpheus Brandy 30ML
1848 xo Brandy 60ML
1848 xo Brandy 30ML
VSOP Exshaw Brandy 60ML
